time      velocity       gamma      alfa       thetas      psis      theta       phi        alt         beta 

   0     1890.0000    -0.0000    10.0000    10.0000    90.0000  1890.7607  3151.2679    30000.0000     0.0000 
   0     1890.0120    -0.0000    10.0000    10.0000    90.0000  1890.7611  3151.2679    30000.0000    -0.0004 
   0     1892.2416    -0.0024    10.2816    10.2792    89.9955  1890.8317  3151.2679    29999.9960    -0.0679 
   0     1898.1998     0.0041    13.9017    13.9062    89.8982  1891.0276  3151.2679    29999.9827    -0.1872 
   1     1902.5222     0.0445    20.0849    20.1302    89.6594  1891.1958  3151.2679    30000.1328    -0.1968 
   1     1904.7659     0.2309    33.6031    33.8316    88.8415  1891.4781  3151.2680    30001.6397    -0.1349 
   1     1899.9922     0.4930    39.0660    39.5438    87.8413  1891.7217  3151.2680    30005.4045    -0.1044 
   1     1896.5330     0.6738    35.7698    36.4143    87.3089  1891.8862  3151.2681    30009.5642    -0.0281 
   2     1896.1831     0.8535    26.0810    26.8827    86.9175  1892.1002  3151.2682    30016.6966     0.2332 
   2     1901.3230     0.9515    15.5904    16.4637    86.6729  1892.3519  3151.2684    30026.6220     0.6169 
   2     1907.1529     0.9690    11.4389    12.3278    86.6333  1892.5530  3151.2685    30034.9977     0.6743 
   3     1912.0559     0.9700    11.2617    12.1682    86.6935  1892.7145  3151.2686    30041.7732     0.4573 
   3     1917.9911     0.9854    15.0505    16.0002    86.7175  1892.9191  3151.2688    30050.4019    -0.0172 
   3     1922.0456     1.0352    21.3637    22.3741    86.4668  1893.0910  3151.2689    30057.8915    -0.3789 
   3     1924.0018     1.1388    29.5168    30.6193    85.7621  1893.2652  3151.2691    30066.0508    -0.5875 
   4     1921.7089     1.3469    37.6031    38.8588    84.2571  1893.4856  3151.2693    30077.8552    -0.6171 
   4     1918.1899     1.5134    38.3413    39.7023    83.2412  1893.6366  3151.2695    30087.2061    -0.4737 
   4     1915.0977     1.7107    32.8501    34.3180    82.5369  1893.8303  3151.2697    30100.7685    -0.0346 
   4     1916.4520     1.8626    22.7122    24.2250    82.3745  1894.0526  3151.2700    30118.0732     0.7442 
   5     1922.7247     1.9315    13.9379    15.4564    82.5523  1894.3173  3151.2704    30139.9543     1.3753 
   5     1927.0984     1.9398    12.0037    13.5784    82.8468  1894.4689  3151.2706    30152.6971     1.2178 
   5     1933.2967     1.9492    13.3894    15.1150    83.3224  1894.6820  3151.2710    30170.6870     0.3675 
   5     1937.6984     1.9781    17.6982    19.5434    83.3832  1894.8487  3151.2712    30184.8875    -0.4383 
   6     1941.5083     2.0798    26.9417    28.8870    82.3626  1895.0727  3151.2716    30204.5764    -1.1302 
   6     1940.8380     2.2520    35.4166    37.3728    80.0677  1895.2797  3151.2720    30224.0323    -1.2136 
   6     1937.2137     2.4424    38.1893    40.0815    77.7964  1895.4615  3151.2723    30242.6018    -0.8892 
   6     1934.1161     2.6091    35.3519    37.1597    76.6414  1895.6230  3151.2727    30260.3882    -0.2837 
   7     1933.9289     2.7948    25.3982    27.0674    76.5891  1895.8660  3151.2732    30289.1079     1.0475 
   7     1939.4213     2.8792    15.8165    17.4271    77.4353  1896.1364  3151.2738    30322.6984     2.1407 
   7     1943.5612     2.8904    13.2776    15.0380    78.1299  1896.2874  3151.2741    30341.7369     1.9824 
   7     1949.6447     2.8993    13.6366    15.8121    79.1462  1896.5015  3151.2746    30368.8298     0.7281 
   8     1954.1445     2.9253    17.2005    19.6828    79.4519  1896.6713  3151.2751    30390.4599    -0.5809 
